id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,airbnb_name,star,bedrooms,beds,baths
258803,1367539,Cássia,Beverly Grove,Entire home/apt,265,30,54,0,Rental unit in Los Angeles,4.45,2,5,2
328989,429011,Gregory,Carthay,Entire home/apt,308,30,4,89,Home in Los Angeles,4.33,2,2,2
259679,1362975,Dwayne,Highland Park,Entire home/apt,110,30,56,365,Rental unit in Los Angeles,4.38,1,2,1
336043,675083,Alejandra,Atwater Village,Entire home/apt,191,30,7,289,Home in Los Angeles,4.57,2,4,1
337928,1529054,Cyn-Anthony,Fairfax,Entire home/apt,114,30,39,365,Farm stay in Los Angeles,4.89,1,2,1
266566,1397951,Lisa,Hollywood Hills,Private room,67,30,4,0,Rental unit in Los Angeles,5.0,1,1,2
266975,1399964,Studio W Venice,Venice,Entire home/apt,203,3,454,256,Home in Venice,4.96,1,1,1
344646,1748638,Jones,Pacific Palisades,Entire home/apt,70,30,108,183,Rental unit in Pacific Palisades,4.32,1,1,1
268130,1405441,Jay,Venice,Entire home/apt,190,30,57,89,Bungalow in Los Angeles,4.64,2,2,1
269521,1411978,Kat,Pacific Palisades,Entire home/apt,176,30,32,170,Home in Los Angeles,4.68,2,3,1
347925,1753258,Dale,Silver Lake,Entire home/apt,410,6,43,363,Loft in Los Angeles,4.93,2,2,2
278106,1451697,Lizzie,Venice,Entire home/apt,189,30,51,177,Bungalow in Venice,4.63,1,3,1
350756,1777755,Marat,Hancock Park,Private room,67,30,6,0,Rental unit in Los Angeles,4.17,1,1,2
278184,998027,Helen,Venice,Entire home/apt,126,30,20,0,Rental unit in Los Angeles,4.90,1,1,1
279086,370874,Vanessa,Mar Vista,Private room,118,30,0,0,Rental unit in Los Angeles,1 bedroom,,1,1
357323,78804,Sophie,Echo Park,Entire home/apt,130,30,93,59,Rental unit in Los Angeles,4.85,1,1,1
358575,1545388,Andrea & Darren,Echo Park,Entire home/apt,165,31,60,89,Rental unit in Los Angeles,4.93,2,2,1.5
286866,135271,Maddalena,Atwater Village,Private room,242,1,670,0,Bungalow in Los Angeles,4.90,2,3,1.5
